onsen_id,onsen_name,onsen_romanji,onsen_address,onsen_latitude,onsen_longitude,onsen_area,onsen_area_romanji,prefectures,prefectures_romanji,municipality,municipality_romanji,municipality_type
Onsen_71,清里温泉,kiyosatoonsen,北海道斜里郡清里町,43.83516,144.5992,オホーツク,ohotuku,北海道,Hokkaido,清里町,kiyosato-chyou,town
Onsen_72,霧多布温泉,kiritappuonsen,北海道厚岸郡浜中町,43.07724,145.1338,釧路,kusiro,北海道,Hokkaido,浜中町,hamanaka-chyou,town
Onsen_73,キロロ温泉,kiroroonsen,北海道余市郡赤井川村,43.07595,140.9822,後志,shiribeshi,北海道,Hokkaido,赤井川村,akaigawa-mura,village
Onsen_74,宮内温泉,miyauchionsen,北海道島牧郡島牧村,42.67481,140.0855,後志,shiribeshi,北海道,Hokkaido,島牧村,shimamaki-mura,village
Onsen_75,屈足温泉,kuttarionsen,北海道上川郡新得町,43.15962,142.9088,十勝,tokachi,北海道,Hokkaido,新得町,shintoku-chyou,town
Onsen_76,倶知安温泉,kucchanonsen,北海道虻田郡倶知安町,42.89798,140.7356,後志,shiribeshi,北海道,Hokkaido,倶知安町,kucchan-chyou,town
Onsen_77,栗山温泉,kuriyamaonsen,北海道夕張郡栗山町,43.058,141.798,空知,sorachi,北海道,Hokkaido,栗山町,kuriyama-chyou,town
Onsen_78,グリーンピア大沼,guriinpiaoonuma,北海道茅部郡森町,42.0024,140.6019,渡島,oshima,北海道,Hokkaido,森町,mori-machi,town
Onsen_79,見市温泉,kenichionsen,北海道二海郡八雲町,42.15527,140.0409,渡島,oshima,北海道,Hokkaido,八雲町,yakumo-chyou,town
Onsen_80,原生亭温泉,genseiteionsen,北海道斜里郡小清水町,43.92537,144.4386,オホーツク,ohotuku,北海道,Hokkaido,小清水町,koshimizu-chyou,town
Onsen_81,剣淵温泉,kenbuchionsen,北海道上川郡剣淵町,44.09736,142.4223,上川,kamikawa,北海道,Hokkaido,剣淵町,kenbuchi-chyou,town
Onsen_82,大雪高原温泉,daisetukougenonsen,北海道上川郡上川町,43.62616,142.9309,上川,kamikawa,北海道,Hokkaido,上川町,kamikawa-chyou,town
Onsen_83,小金湯温泉,koganeyuonsen,北海道札幌市,42.96814,141.2193,石狩,ishikari,北海道,Hokkaido,札幌市,sapporo-city,city
Onsen_84,小清水温泉,koshimizuonsen,北海道斜里郡小清水町,43.8535,144.4729,オホーツク,ohotuku,北海道,Hokkaido,小清水町,koshimizu-chyou,town
Onsen_85,虎杖浜温泉,kojouhamaonsen,北海道白老郡白老町,42.4626,141.21,胆振,iburi,北海道,Hokkaido,白老町,siraoi-chyou,town
Onsen_86,古丹別温泉,kotanbetuonsen,北海道苫前郡苫前町,44.26577,141.7147,留萌,rumoi,北海道,Hokkaido,苫前町,tomamae-chyou,town
Onsen_87,駒ヶ峯温泉,komaganeonsen,北海道茅部郡森町,42.01537,140.6427,渡島,oshima,北海道,Hokkaido,森町,mori-machi,town
Onsen_88,五味温泉,gomionsen,北海道上川郡下川町,44.25029,142.6413,上川,kamikawa,北海道,Hokkaido,下川町,simokawa-chyou,town
Onsen_89,昆布川温泉,konbugawaonsen,北海道磯谷郡蘭越町,42.79811,140.5974,後志,shiribeshi,北海道,Hokkaido,蘭越町,rankosi-chyou,town
Onsen_90,盃温泉,sakazukionsen,北海道古宇郡泊村,43.10828,140.454,後志,shiribeshi,北海道,Hokkaido,泊村,tomari-mura,village
Onsen_91,桜野温泉,sakuranoonsen,北海道二海郡八雲町,42.14828,140.2901,渡島,oshima,北海道,Hokkaido,八雲町,yakumo-chyou,town
Onsen_92,沙流川温泉,sarugawaonsen,北海道沙流郡日高町,42.86949,142.445,日高,hidaka,北海道,Hokkaido,日高町,hidaka-chyou,town
Onsen_93,珊内ぬくもり温泉,sannainukumorionsen,北海道古宇郡神恵内村,43.19702,140.3482,後志,shiribeshi,北海道,Hokkaido,神恵内村,kamoenai-mura,village
Onsen_94,塩別温泉,siobetsuonsen,北海道北見市,43.73859,143.4204,オホーツク,ohotuku,北海道,Hokkaido,北見市,kitami-city,city
Onsen_95,鹿部温泉,shikabeonsen,北海道茅部郡鹿部町,42.0341,140.8255,渡島,oshima,北海道,Hokkaido,鹿部町,sikabe-chyou,town
Onsen_96,然別湖畔温泉,shikabetukohanonsen,北海道河東郡鹿追町,43.27521,143.1058,十勝,tokachi,北海道,Hokkaido,鹿追町,sikaoi-chyou,town
Onsen_97,支笏湖温泉,shikotukoonsen,北海道千歳市,42.774,141.406,石狩,ishikari,北海道,Hokkaido,千歳市,chitose-city,city
Onsen_98,静内温泉,shidunaionsen,北海道日高郡新ひだか町,42.31789,142.421,日高,hidaka,北海道,Hokkaido,新ひだか町,sinhidaka-chyou,town
Onsen_99,標茶温泉,shibechaonsen,北海道川上郡標茶町,43.2673,144.5533,釧路,kusiro,北海道,Hokkaido,標茶町,shibechya-chyou,town
Onsen_100,標津温泉,shibetuonsen,北海道標津郡標津町,43.66031,145.1382,根室,nemuro,北海道,Hokkaido,標津町,shibetsu-chyou,town
Onsen_101,島の下温泉,shimanoshitaonsen,北海道富良野市,43.36655,142.3404,上川,kamikawa,北海道,Hokkaido,富良野市,hurano-city,city
Onsen_102,しみず温泉,shimizuonsen,北海道上川郡清水町,43.06999,142.9453,十勝,tokachi,北海道,Hokkaido,清水町,shimizu-chyou,town
Onsen_103,下オソベツ温泉,shimoosobetuonsen,北海道川上郡標茶町,43.3265,144.471,釧路,kusiro,北海道,Hokkaido,標茶町,shibechya-chyou,town
Onsen_104,下居辺温泉,shimooribeonsen,北海道河東郡士幌町,43.13892,143.3678,十勝,tokachi,北海道,Hokkaido,士幌町,sihoro-chyou,town
Onsen_105,積丹温泉,shakotanonsen,北海道積丹郡積丹町,43.3386,140.4547,後志,shiribeshi,北海道,Hokkaido,積丹町,syakotan-chyou,town
Onsen_106,斜里温泉,sharionsen,北海道斜里郡斜里町,43.91595,144.6429,オホーツク,ohotuku,北海道,Hokkaido,斜里町,syari-chyou,town
Onsen_107,定山渓温泉,jouzankeionsen,北海道札幌市,42.969,141.167,石狩,ishikari,北海道,Hokkaido,札幌市,sapporo-city,city
Onsen_108,白老温泉,shiraoionsen,北海道白老郡白老町,42.56065,141.3634,胆振,iburi,北海道,Hokkaido,白老町,siraoi-chyou,town
Onsen_109,知内温泉,shiriuchionsen,北海道上磯郡知内町,41.59583,140.2945,渡島,oshima,北海道,Hokkaido,知内町,siriuchi-chyou,town
Onsen_110,白金温泉,shiroganeonsen,北海道上川郡美瑛町,43.47321,142.638,上川,kamikawa,北海道,Hokkaido,美瑛町,biei-chyou,town
Onsen_111,しょさんべつ温泉,shosanbetuonsen,北海道苫前郡初山別村,44.56372,141.7767,留萌,rumoi,北海道,Hokkaido,初山別村,syosanbetsu-mura,village
Onsen_112,新得温泉,shintokuonsen,北海道上川郡新得町,43.08579,142.8479,十勝,tokachi,北海道,Hokkaido,新得町,shintoku-chyou,town
Onsen_113,新十津川温泉,shintotukawaonasen,北海道樺戸郡新十津川町,43.53198,141.845,空知,sorachi,北海道,Hokkaido,新十津川町,shintotsukawa-chyou,town
Onsen_114,新富町温泉,shintomityouonsen,北海道釧路市,42.9928,144.3885,釧路,kusiro,北海道,Hokkaido,釧路市,kusiro-city,city
Onsen_115,新町温泉,shinmationsen,北海道空知郡上富良野町,43.4593,142.4794,上川,kamikawa,北海道,Hokkaido,上富良野町,kamifurano-chyou,town
Onsen_116,すすきの天然温泉,susukinotennenonsen,北海道札幌市,43.05291,141.3524,石狩,ishikari,北海道,Hokkaido,札幌市,sapporo-city,city
Onsen_117,瀬戸瀬温泉,setoseonsen,北海道紋別郡遠軽町,43.93982,143.429,オホーツク,ohotuku,北海道,Hokkaido,遠軽町,engaru-chyou,town
Onsen_118,層雲峡温泉,souunkyouonsen,北海道上川郡上川町,43.73051,142.9457,上川,kamikawa,北海道,Hokkaido,上川町,kamikawa-chyou,town
Onsen_119,壮瞥温泉,soubetuonsen,北海道有珠郡壮瞥町,42.56579,140.8345,胆振,iburi,北海道,Hokkaido,壮瞥町,soubetsu-chyou,town
Onsen_120,大雪高原温泉,taisetukougenonsen,北海道上川郡上川町,43.62623,142.9309,上川,kamikawa,北海道,Hokkaido,上川町,kamikawa-chyou,town
Onsen_121,滝の湯温泉,takinoyuonsen,北海道北見市,43.73399,143.4233,オホーツク,ohotuku,北海道,Hokkaido,北見市,kitami-city,city
Onsen_122,竹山高原温泉,takeyamakougenonsen,北海道北広島市,42.95167,141.5323,石狩,ishikari,北海道,Hokkaido,北広島市,kitahiroshima-city,city
Onsen_123,龍乃湯温泉,tatsunoyuonsen,北海道旭川市,43.77863,142.4427,上川,kamikawa,北海道,Hokkaido,旭川市,asahikawa-city,city
Onsen_124,伊達温泉,dateonsen,北海道伊達市,42.48518,140.8508,胆振,iburi,北海道,Hokkaido,伊達市,date-city,city
Onsen_125,館浦温泉,tateuraonsen,北海道爾志郡乙部町,41.97876,140.1416,檜山,hiyama,北海道,Hokkaido,乙部町,otobe-chyou,town
Onsen_126,丹頂の里温泉,tanchounosatoonse,北海道釧路市,43.14453,144.145,釧路,kusiro,北海道,Hokkaido,釧路市,kusiro-city,city
Onsen_127,秩父別温泉,chippubetuonsen,北海道雨竜郡秩父別町,43.76531,141.9663,空知,sorachi,北海道,Hokkaido,秩父別町,chippubetsu-chyou,town
Onsen_128,千走川温泉,chihasegawaonsen,北海道島牧郡島牧村,42.64573,140.042,後志,shiribeshi,北海道,Hokkaido,島牧村,shimamaki-mura,village
Onsen_129,月形温泉,tukigataonsen,北海道樺戸郡月形町,43.34117,141.6801,空知,sorachi,北海道,Hokkaido,月形町,tsukigata-chyou,town
Onsen_130,筒井温泉,tsutsuionsen,北海道河東郡音更町,42.98269,143.2926,十勝,tokachi,北海道,Hokkaido,音更町,otohuke-chyou,town
Onsen_131,鶴居温泉,tsuruionsen,北海道阿寒郡鶴居村,43.24102,144.3245,釧路,kusiro,北海道,Hokkaido,鶴居村,tsurui-mura,village
Onsen_132,鶴の湯温泉,tsurunoyuonsen,北海道勇払郡安平町,42.7567,141.7973,胆振,iburi,北海道,Hokkaido,安平町,abira-chyou,town
Onsen_133,てしお温泉,teshioonsen,北海道天塩郡天塩町,44.8769,141.7441,留萌,rumoi,北海道,Hokkaido,天塩町,teshio-chyou,town
Onsen_134,天塩川温泉,teshiogawaonsen,北海道中川郡音威子府村,44.66088,142.2543,上川,kamikawa,北海道,Hokkaido,音威子府村,otoineppu-mura,village
Onsen_135,鐺別温泉,toubetsuonsen,北海道川上郡弟子屈町,43.48023,144.4528,釧路,kusiro,北海道,Hokkaido,弟子屈町,teshikaga-chyou,town
Onsen_136,天人峡温泉,tenninkyouonsen,北海道上川郡東神楽町,43.62043,142.7786,上川,kamikawa,北海道,Hokkaido,東神楽町,higasikagura-chyou,town
Onsen_137,洞爺湖温泉,touyakoonsen,北海道虻田郡洞爺湖町,42.56593,140.8208,胆振,iburi,北海道,Hokkaido,洞爺湖町,touyako-chyou,town
Onsen_138,十勝川温泉,tokachigawaonsen,北海道河東郡音更町,42.93324,143.303,十勝,tokachi,北海道,Hokkaido,音更町,otohuke-chyou,town
Onsen_139,十勝岳温泉,tokachidakeonsen,北海道空知郡上富良野町,43.41378,142.6428,上川,kamikawa,北海道,Hokkaido,上富良野町,kamifurano-chyou,town
Onsen_140,苫前温泉,tomamaeonsen,北海道苫前郡苫前町,44.31341,141.6564,留萌,rumoi,北海道,Hokkaido,苫前町,tomamae-chyou,town
Onsen_141,トムラウシ温泉,tomuraushionsen,北海道上川郡新得町,43.46034,142.8752,十勝,tokachi,北海道,Hokkaido,新得町,shintoku-chyou,town
Onsen_142,豊富温泉,toyotomionsen,北海道天塩郡豊富町,45.07437,141.8391,宗谷,souya,北海道,Hokkaido,豊富町,toyotomi-chyou,town
Onsen_143,ないえ温泉,naieonsen,北海道空知郡奈井江町,43.44623,141.9332,空知,sorachi,北海道,Hokkaido,奈井江町,naie-chyou,town
Onsen_144,ナイタイ高原温泉,naitaikougenonsen,北海道河東郡上士幌町,43.28477,143.2616,十勝,tokachi,北海道,Hokkaido,上士幌町,kamishihoro-chyou,town
Onsen_145,ナウマン温泉,naumanonsen,北海道中川郡幕別町,42.55994,143.3004,十勝,tokachi,北海道,Hokkaido,幕別町,makubetsu-chyou,town
Onsen_146,中小屋温泉,nakagoyaonsen,北海道石狩郡当別町,43.28362,141.5821,石狩,ishikari,北海道,Hokkaido,当別町,toubetsu-chyou,town
Onsen_147,中標津温泉,nakashibetuonsen,北海道標津郡中標津町,43.65536,145.1303,根室,nemuro,北海道,Hokkaido,中標津町,nakashibetsu-chyou,town
Onsen_148,ながぬま温泉,naganumaonsen,北海道夕張郡長沼町,43.00307,141.7242,空知,sorachi,北海道,Hokkaido,長沼町,naganuma-chyou,town
Onsen_149,流山温泉,nagareyamaonsen,北海道亀田郡七飯町,42.00205,140.7183,渡島,oshima,北海道,Hokkaido,七飯町,nanae-chyou,town
Onsen_150,七重浜温泉,nanaehamaonsen,北海道北斗市,41.81991,140.6923,渡島,oshima,北海道,Hokkaido,北斗市,hokuto-city,city
Onsen_151,名寄温泉,nayoroonsen,北海道名寄市,44.40247,142.5158,上川,kamikawa,北海道,Hokkaido,名寄市,nayoro-city,city
Onsen_152,南幌温泉,nanporoonsen,北海道空知郡南幌町,43.06945,141.5979,空知,sorachi,北海道,Hokkaido,南幌町,nannporo-chyou,town
Onsen_153,新冠温泉,niikappuonsen,北海道新冠郡新冠町,42.35574,142.3294,日高,hidaka,北海道,Hokkaido,新冠町,niikappu-chyou,town
Onsen_154,西大沼温泉,nishioonumaonsen,北海道亀田郡七飯町,41.99434,140.6429,渡島,oshima,北海道,Hokkaido,七飯町,nanae-chyou,town
Onsen_155,西桂沢温泉,nishikatsurazawaonsen,北海道三笠市,43.25616,141.9728,空知,sorachi,北海道,Hokkaido,三笠市,mikasa-city,city
Onsen_156,濁川温泉,nigorikawaonsen,北海道茅部郡森町,42.12012,140.4312,渡島,oshima,北海道,Hokkaido,森町,mori-machi,town
Onsen_157,森の湯,morinoyu,北海道旭川市,43.67125,142.5434,上川,kamikawa,北海道,Hokkaido,旭川市,asahikawa-city,city
Onsen_158,ニセコアンヌプリ温泉,nisekoannupurionsen,北海道虻田郡ニセコ町,42.84405,140.6345,後志,shiribeshi,北海道,Hokkaido,ニセコ町,niseko-chyou,town
Onsen_159,ニセコ五色温泉,nisekogoshikionsen,北海道虻田郡ニセコ町,42.87373,140.6373,後志,shiribeshi,北海道,Hokkaido,ニセコ町,niseko-chyou,town
Onsen_160,ニセコ昆布温泉,nisekokonbuonsen,北海道磯谷郡蘭越町,42.84652,140.623,後志,shiribeshi,北海道,Hokkaido,蘭越町,rankosi-chyou,town
Onsen_161,ニセコ新見温泉,nisekoniimionsen,北海道磯谷郡蘭越町,42.88239,140.5487,後志,shiribeshi,北海道,Hokkaido,蘭越町,rankosi-chyou,town
Onsen_162,ニセコ東山温泉,nisekohigashiyamaonsen,北海道虻田郡ニセコ町,42.84684,140.6761,後志,shiribeshi,北海道,Hokkaido,ニセコ町,niseko-chyou,town
Onsen_163,ニセコ薬師温泉,nisekoyakushionsen,北海道磯谷郡蘭越町,42.83335,140.5938,後志,shiribeshi,北海道,Hokkaido,蘭越町,rankosi-chyou,town
Onsen_164,ニセコ湯本温泉,nisekoyumotoonsen,北海道磯谷郡蘭越町,42.86967,140.5973,後志,shiribeshi,北海道,Hokkaido,蘭越町,rankosi-chyou,town
Onsen_165,ニセコワイス高原温泉,nisekowaisukougenonsen,北海道虻田郡倶知安町,42.90658,140.6719,後志,shiribeshi,北海道,Hokkaido,倶知安町,kucchan-chyou,town
Onsen_166,仁伏温泉,nibushionsen,北海道川上郡弟子屈町,43.64544,144.3988,釧路,kusiro,北海道,Hokkaido,弟子屈町,teshikaga-chyou,town
Onsen_167,ニヤマ温泉,niyamaonsen,北海道亀田郡七飯町,41.93127,140.6347,渡島,oshima,北海道,Hokkaido,七飯町,nanae-chyou,town
Onsen_168,糠平温泉,nukabiraonsen,北海道河東郡上士幌町,43.36502,143.1875,十勝,tokachi,北海道,Hokkaido,上士幌町,kamishihoro-chyou,town
Onsen_169,根崎温泉,nezakionsen,北海道函館市,41.77488,140.7905,渡島,oshima,北海道,Hokkaido,函館市,hakodate-city,city
Onsen_170,ねとい温泉,netoionsen,北海道久遠郡せたな町,42.41599,139.9351,檜山,hiyama,北海道,Hokkaido,せたな町,setana-chyou,town
Onsen_171,野付温泉,notukeonsen,北海道野付郡別海町,43.56771,145.2212,根室,nemuro,北海道,Hokkaido,別海町,betsukai-chyou,town
